level_code	admin_code	display_name	territory_name	territory_wikidata_id	territory_type	parent_level_code	parent_admin_code	source
state	1	Burgenland	Burgenland	Q43210	region			seed.at_admin_state
state	2	Kärnten	Carinthia	Q37985	region			seed.at_admin_state
state	3	Niederösterreich	Lower Austria	Q42497	region			seed.at_admin_state
state	4	Oberösterreich	Upper Austria	Q41967	region			seed.at_admin_state
state	5	Salzburg	Salzburg	Q43325	region			seed.at_admin_state
state	6	Steiermark	Styria	Q41358	region			seed.at_admin_state
state	7	Tirol	Tyrol	Q42880	region			seed.at_admin_state
state	8	Vorarlberg	Vorarlberg	Q38981	region			seed.at_admin_state
state	9	Wien	Vienna	Q1741	municipality			seed.at_admin_state
district	101	Eisenstadt(Stadt)	Eisenstadt	Q126321	municipality	state	1	seed.at_admin_district
district	102	Rust(Stadt)	Rust	Q259214	municipality	state	1	seed.at_admin_district
district	103	Eisenstadt-Umgebung	Eisenstadt-Umgebung District	Q261432	district	state	1	seed.at_admin_district
district	104	Güssing	Güssing District	Q660312	district	state	1	seed.at_admin_district
district	105	Jennersdorf	Jennersdorf District	Q756277	district	state	1	seed.at_admin_district
district	106	Mattersburg	Mattersburg District	Q748570	district	state	1	seed.at_admin_district
district	107	Neusiedl am See	Neusiedl am See District	Q660325	district	state	1	seed.at_admin_district
district	108	Oberpullendorf	Oberpullendorf District	Q748891	district	state	1	seed.at_admin_district
district	109	Oberwart	Oberwart District	Q660230	district	state	1	seed.at_admin_district
district	201	Klagenfurt Stadt	Klagenfurt am Wörthersee	Q41753	municipality	state	2	seed.at_admin_district
district	202	Villach Stadt	Villach	Q483522	municipality	state	2	seed.at_admin_district
district	203	Hermagor	Hermagor District	Q613991	district	state	2	seed.at_admin_district
district	204	Klagenfurt Land	Klagenfurt-Land District	Q660701	district	state	2	seed.at_admin_district
district	205	Sankt Veit an der Glan	St. Veit an der Glan District	Q660255	district	state	2	seed.at_admin_district
district	206	Spittal an der Drau	Spittal an der Drau District	Q660293	district	state	2	seed.at_admin_district
district	207	Villach Land	Villach-Land District	Q660264	district	state	2	seed.at_admin_district
district	208	Völkermarkt	Völkermarkt District	Q660279	district	state	2	seed.at_admin_district
district	209	Wolfsberg	Wolfsberg District	Q665641	district	state	2	seed.at_admin_district
district	210	Feldkirchen	Feldkirchen District	Q665735	district	state	2	seed.at_admin_district
district	301	Krems an der Donau(Stadt)	Krems	Q131266	municipality	state	3	seed.at_admin_district
district	302	St. Pölten(Stadt)	St. Pölten	Q82500	municipality	state	3	seed.at_admin_district
district	303	Waidhofen an der Ybbs(Stadt)	Waidhofen an der Ybbs	Q427385	municipality	state	3	seed.at_admin_district
district	304	Wiener Neustadt(Stadt)	Wiener Neustadt	Q131612	municipality	state	3	seed.at_admin_district
district	305	Amstetten	Amstetten District	Q694449	district	state	3	seed.at_admin_district
district	306	Baden	Baden District	Q279874	district	state	3	seed.at_admin_district
district	307	Bruck an der Leitha	Bruck an der Leitha District	Q584543	district	state	3	seed.at_admin_district
district	308	Gänserndorf	Gänserndorf District	Q694442	district	state	3	seed.at_admin_district
district	309	Gmünd	Gmünd District	Q694421	district	state	3	seed.at_admin_district
district	310	Hollabrunn	Hollabrunn District	Q694349	district	state	3	seed.at_admin_district
district	311	Horn	Horn District	Q143167	district	state	3	seed.at_admin_district
district	312	Korneuburg	Korneuburg District	Q694372	district	state	3	seed.at_admin_district
district	313	Krems(Land)	Krems District	Q694399	district	state	3	seed.at_admin_district
district	314	Lilienfeld	Lilienfeld District	Q694463	district	state	3	seed.at_admin_district
district	315	Melk	Melk District	Q261942	district	state	3	seed.at_admin_district
district	316	Mistelbach	Mistelbach District	Q257454	district	state	3	seed.at_admin_district
district	317	Mödling	Mödling District	Q254176	district	state	3	seed.at_admin_district
district	318	Neunkirchen	Neunkirchen District	Q694386	district	state	3	seed.at_admin_district
district	319	St. Pölten(Land)	St. Pölten District	Q694393	district	state	3	seed.at_admin_district
district	320	Scheibbs	Scheibbs District	Q253068	district	state	3	seed.at_admin_district
