level_code	admin_code	display_name	territory_wikidata_id	parent_level_code	parent_admin_code	source
region	04000	RÉGION DE BRUXELLES-CAPITALE / BRUSSELS HOOFDSTEDELIJK GEWEST	Q240			seed.be_admin_region
arrondissement	21000	Arrondissement de Bruxelles-Capitale / Arrondissement Brussel Hoofdstad	Q90870	region	04000	seed.be_admin_arrondissement
municipality	21001	Anderlecht / Anderlecht	Q12886	arrondissement	21000	seed.be_admin_municipality
municipality	21002	Auderghem / Oudergem	Q272228	arrondissement	21000	seed.be_admin_municipality
municipality	21003	Berchem-Sainte-Agathe / Sint-Agatha-Berchem	Q272272	arrondissement	21000	seed.be_admin_municipality
municipality	21004	Bruxelles / Brussel	Q239	arrondissement	21000	seed.be_admin_municipality
municipality	21005	Etterbeek / Etterbeek	Q192859	arrondissement	21000	seed.be_admin_municipality
municipality	21006	Evere / Evere	Q321718	arrondissement	21000	seed.be_admin_municipality
municipality	21007	Forest / Vorst	Q72946	arrondissement	21000	seed.be_admin_municipality
municipality	21008	Ganshoren / Ganshoren	Q366552	arrondissement	21000	seed.be_admin_municipality
municipality	21009	Ixelles / Elsene	Q208713	arrondissement	21000	seed.be_admin_municipality
municipality	21010	Jette / Jette	Q241918	arrondissement	21000	seed.be_admin_municipality
municipality	21011	Koekelberg / Koekelberg	Q219244	arrondissement	21000	seed.be_admin_municipality
municipality	21012	Molenbeek-Saint-Jean / Sint-Jans-Molenbeek	Q180775	arrondissement	21000	seed.be_admin_municipality
municipality	21013	Saint-Gilles / Sint-Gillis	Q237674	arrondissement	21000	seed.be_admin_municipality
municipality	21014	Saint-Josse-ten-Noode / Sint-Joost-ten-Node	Q272243	arrondissement	21000	seed.be_admin_municipality
municipality	21015	Schaerbeek / Schaarbeek	Q12887	arrondissement	21000	seed.be_admin_municipality
municipality	21016	Uccle / Ukkel	Q203312	arrondissement	21000	seed.be_admin_municipality
municipality	21017	Watermael-Boitsfort / Watermaal-Bosvoorde	Q272262	arrondissement	21000	seed.be_admin_municipality
municipality	21018	Woluwe-Saint-Lambert / Sint-Lambrechts-Woluwe	Q211764	arrondissement	21000	seed.be_admin_municipality
municipality	21019	Woluwe-Saint-Pierre / Sint-Pieters-Woluwe	Q242393	arrondissement	21000	seed.be_admin_municipality
region	02000	VLAAMS GEWEST	Q9337			seed.be_admin_region
province	10000	Provincie Antwerpen	Q1116	region	02000	seed.be_admin_province
arrondissement	11000	Arrondissement Antwerpen	Q90895	province	10000	seed.be_admin_arrondissement
municipality	11001	Aartselaar	Q303246	arrondissement	11000	seed.be_admin_municipality
