level_code	admin_code	display_name	territory_wikidata_id	parent_level_code	parent_admin_code	source
canton	ZH	Zürich	Q11943			seed.ch_admin_canton
canton	BE	Bern / Berne	Q11911			seed.ch_admin_canton
canton	LU	Luzern	Q12121			seed.ch_admin_canton
canton	UR	Uri	Q12404			seed.ch_admin_canton
canton	SZ	Schwyz	Q12433			seed.ch_admin_canton
canton	OW	Obwalden	Q12573			seed.ch_admin_canton
canton	NW	Nidwalden	Q12592			seed.ch_admin_canton
canton	GL	Glarus	Q11922			seed.ch_admin_canton
canton	ZG	Zug	Q11933			seed.ch_admin_canton
canton	FR	Fribourg / Freiburg	Q12640			seed.ch_admin_canton
canton	SO	Solothurn	Q11929			seed.ch_admin_canton
canton	BS	Basel-Stadt	Q12172			seed.ch_admin_canton
canton	BL	Basel-Landschaft	Q12146			seed.ch_admin_canton
canton	SH	Schaffhausen	Q12697			seed.ch_admin_canton
canton	AR	Appenzell Ausserrhoden	Q12079			seed.ch_admin_canton
canton	AI	Appenzell Innerrhoden	Q12094			seed.ch_admin_canton
canton	SG	St. Gallen	Q12746			seed.ch_admin_canton
canton	GR	Graubünden / Grigioni / Grischun	Q11925			seed.ch_admin_canton
canton	AG	Aargau	Q11972			seed.ch_admin_canton
canton	TG	Thurgau	Q12713			seed.ch_admin_canton
canton	TI	Ticino	Q12724			seed.ch_admin_canton
canton	VD	Vaud	Q12771			seed.ch_admin_canton
canton	VS	Valais / Wallis	Q834			seed.ch_admin_canton
canton	NE	Neuchâtel	Q12738			seed.ch_admin_canton
canton	GE	Genève	Q11917			seed.ch_admin_canton
canton	JU	Jura	Q12755			seed.ch_admin_canton
municipality	1	Aeugst am Albis	Q64945	canton	ZH	seed.ch_admin_municipality
municipality	2	Affoltern am Albis	Q68290	canton	ZH	seed.ch_admin_municipality
municipality	3	Bonstetten	Q65510	canton	ZH	seed.ch_admin_municipality
municipality	4	Hausen am Albis	Q65231	canton	ZH	seed.ch_admin_municipality
municipality	5	Hedingen	Q65129	canton	ZH	seed.ch_admin_municipality
municipality	6	Kappel am Albis	Q64589	canton	ZH	seed.ch_admin_municipality
municipality	7	Knonau	Q66328	canton	ZH	seed.ch_admin_municipality
municipality	8	Maschwanden	Q64977	canton	ZH	seed.ch_admin_municipality
municipality	9	Mettmenstetten	Q65547	canton	ZH	seed.ch_admin_municipality
municipality	10	Obfelden	Q65942	canton	ZH	seed.ch_admin_municipality
municipality	11	Ottenbach	Q67513	canton	ZH	seed.ch_admin_municipality
municipality	12	Rifferswil	Q66598	canton	ZH	seed.ch_admin_municipality
municipality	13	Stallikon	Q66062	canton	ZH	seed.ch_admin_municipality
municipality	14	Wettswil am Albis	Q65934	canton	ZH	seed.ch_admin_municipality
municipality	22	Benken (ZH)	Q70171	canton	ZH	seed.ch_admin_municipality
municipality	23	Berg am Irchel	Q65781	canton	ZH	seed.ch_admin_municipality
municipality	24	Buch am Irchel	Q68451	canton	ZH	seed.ch_admin_municipality
municipality	25	Dachsen	Q67949	canton	ZH	seed.ch_admin_municipality
municipality	26	Dorf	Q70283	canton	ZH	seed.ch_admin_municipality
municipality	27	Feuerthalen	Q66283	canton	ZH	seed.ch_admin_municipality
municipality	28	Flaach	Q70367	canton	ZH	seed.ch_admin_municipality
municipality	29	Flurlingen	Q66757	canton	ZH	seed.ch_admin_municipality
municipality	31	Henggart	Q68417	canton	ZH	seed.ch_admin_municipality
municipality	33	Kleinandelfingen	Q68413	canton	ZH	seed.ch_admin_municipality
municipality	34	Laufen-Uhwiesen	Q66336	canton	ZH	seed.ch_admin_municipality
municipality	35	Marthalen	Q67213	canton	ZH	seed.ch_admin_municipality
municipality	37	Ossingen	Q68393	canton	ZH	seed.ch_admin_municipality
municipality	38	Rheinau	Q67534	canton	ZH	seed.ch_admin_municipality
municipality	39	Thalheim an der Thur	Q65844	canton	ZH	seed.ch_admin_municipality
municipality	40	Trüllikon	Q67933	canton	ZH	seed.ch_admin_municipality
municipality	41	Truttikon	Q70072	canton	ZH	seed.ch_admin_municipality
municipality	43	Volken	Q67922	canton	ZH	seed.ch_admin_municipality
municipality	51	Bachenbülach	Q69887	canton	ZH	seed.ch_admin_municipality
municipality	52	Bassersdorf	Q69734	canton	ZH	seed.ch_admin_municipality
municipality	53	Bülach	Q9093	canton	ZH	seed.ch_admin_municipality
municipality	54	Dietlikon	Q65164	canton	ZH	seed.ch_admin_municipality
municipality	55	Eglisau	Q69175	canton	ZH	seed.ch_admin_municipality
municipality	56	Embrach	Q65877	canton	ZH	seed.ch_admin_municipality
municipality	57	Freienstein-Teufen	Q66964	canton	ZH	seed.ch_admin_municipality
municipality	58	Glattfelden	Q68399	canton	ZH	seed.ch_admin_municipality
municipality	59	Hochfelden	Q68410	canton	ZH	seed.ch_admin_municipality
municipality	60	Höri	Q70377	canton	ZH	seed.ch_admin_municipality
municipality	61	Hüntwangen	Q69367	canton	ZH	seed.ch_admin_municipality
municipality	62	Kloten	Q68165	canton	ZH	seed.ch_admin_municipality
municipality	63	Lufingen	Q67912	canton	ZH	seed.ch_admin_municipality
municipality	64	Nürensdorf	Q67898	canton	ZH	seed.ch_admin_municipality
municipality	65	Oberembrach	Q65512	canton	ZH	seed.ch_admin_municipality
municipality	66	Opfikon	Q64224	canton	ZH	seed.ch_admin_municipality
municipality	67	Rafz	Q66457	canton	ZH	seed.ch_admin_municipality
municipality	68	Rorbas	Q67909	canton	ZH	seed.ch_admin_municipality
municipality	69	Wallisellen	Q69374	canton	ZH	seed.ch_admin_municipality
municipality	70	Wasterkingen	Q67882	canton	ZH	seed.ch_admin_municipality
municipality	71	Wil (ZH)	Q67223	canton	ZH	seed.ch_admin_municipality
municipality	72	Winkel	Q66588	canton	ZH	seed.ch_admin_municipality
municipality	81	Bachs	Q70273	canton	ZH	seed.ch_admin_municipality
municipality	82	Boppelsen	Q67062	canton	ZH	seed.ch_admin_municipality
municipality	83	Buchs (ZH)	Q67539	canton	ZH	seed.ch_admin_municipality
municipality	84	Dällikon	Q66755	canton	ZH	seed.ch_admin_municipality
municipality	85	Dänikon	Q70131	canton	ZH	seed.ch_admin_municipality
municipality	86	Dielsdorf	Q67951	canton	ZH	seed.ch_admin_municipality
municipality	87	Hüttikon	Q65671	canton	ZH	seed.ch_admin_municipality
municipality	88	Neerach	Q68395	canton	ZH	seed.ch_admin_municipality
municipality	89	Niederglatt	Q67920	canton	ZH	seed.ch_admin_municipality
municipality	90	Niederhasli	Q67042	canton	ZH	seed.ch_admin_municipality
municipality	91	Niederweningen	Q66411	canton	ZH	seed.ch_admin_municipality
municipality	92	Oberglatt	Q70022	canton	ZH	seed.ch_admin_municipality
municipality	93	Oberweningen	Q70264	canton	ZH	seed.ch_admin_municipality
municipality	94	Otelfingen	Q66156	canton	ZH	seed.ch_admin_municipality
municipality	95	Regensberg	Q70197	canton	ZH	seed.ch_admin_municipality
municipality	96	Regensdorf	Q64205	canton	ZH	seed.ch_admin_municipality
municipality	97	Rümlang	Q67894	canton	ZH	seed.ch_admin_municipality
municipality	98	Schleinikon	Q67884	canton	ZH	seed.ch_admin_municipality
municipality	99	Schöfflisdorf	Q70295	canton	ZH	seed.ch_admin_municipality
municipality	100	Stadel	Q67907	canton	ZH	seed.ch_admin_municipality
municipality	101	Steinmaur	Q67887	canton	ZH	seed.ch_admin_municipality
municipality	102	Weiach	Q70088	canton	ZH	seed.ch_admin_municipality
municipality	111	Bäretswil	Q65868	canton	ZH	seed.ch_admin_municipality
municipality	112	Bubikon	Q67068	canton	ZH	seed.ch_admin_municipality
municipality	113	Dürnten	Q67220	canton	ZH	seed.ch_admin_municipality
municipality	114	Fischenthal	Q65854	canton	ZH	seed.ch_admin_municipality
municipality	115	Gossau (ZH)	Q67525	canton	ZH	seed.ch_admin_municipality
municipality	116	Grüningen	Q67120	canton	ZH	seed.ch_admin_municipality
municipality	117	Hinwil	Q69383	canton	ZH	seed.ch_admin_municipality
municipality	118	Rüti (ZH)	Q69752	canton	ZH	seed.ch_admin_municipality
municipality	119	Seegräben	Q67310	canton	ZH	seed.ch_admin_municipality
municipality	120	Wald (ZH)	Q67272	canton	ZH	seed.ch_admin_municipality
municipality	121	Wetzikon (ZH)	Q68305	canton	ZH	seed.ch_admin_municipality
