admin_code	display_name	territory_wikidata_id	parent_state_code	parent_government_region_code	source
01001	Flensburg	Q3798	01		seed.de_admin_kreis
01002	Kiel	Q1707	01		seed.de_admin_kreis
01003	Lübeck	Q2843	01		seed.de_admin_kreis
01004	Neumünster	Q3879	01		seed.de_admin_kreis
01051	Dithmarschen	Q2947	01		seed.de_admin_kreis
01053	Herzogtum Lauenburg	Q3000	01		seed.de_admin_kreis
01054	Nordfriesland	Q2937	01		seed.de_admin_kreis
01055	Ostholstein	Q2975	01		seed.de_admin_kreis
01056	Pinneberg	Q3006	01		seed.de_admin_kreis
01057	Plön	Q2970	01		seed.de_admin_kreis
01058	Rendsburg-Eckernförde	Q2967	01		seed.de_admin_kreis
01059	Schleswig-Flensburg	Q2941	01		seed.de_admin_kreis
01060	Segeberg	Q2980	01		seed.de_admin_kreis
01061	Steinburg	Q3011	01		seed.de_admin_kreis
01062	Stormarn	Q3003	01		seed.de_admin_kreis
02000	Hamburg	Q1055	02		seed.de_admin_kreis
03101	Braunschweig	Q2773	03		seed.de_admin_kreis
03102	Salzgitter	Q3200	03		seed.de_admin_kreis
03103	Wolfsburg	Q3014	03		seed.de_admin_kreis
03151	Gifhorn	Q6053	03		seed.de_admin_kreis
03153	Goslar	Q6040	03		seed.de_admin_kreis
03154	Helmstedt	Q6047	03		seed.de_admin_kreis
03155	Northeim	Q6018	03		seed.de_admin_kreis
03157	Peine	Q6045	03		seed.de_admin_kreis
03158	Wolfenbüttel	Q6041	03		seed.de_admin_kreis
03159	Göttingen	Q6022	03		seed.de_admin_kreis
03241	Region Hannover	Q5963	03		seed.de_admin_kreis
03251	Diepholz	Q5956	03		seed.de_admin_kreis
03252	Hameln-Pyrmont	Q5970	03		seed.de_admin_kreis
03254	Hildesheim	Q5978	03		seed.de_admin_kreis
03255	Holzminden	Q5973	03		seed.de_admin_kreis
03256	Nienburg (Weser)	Q5958	03		seed.de_admin_kreis
03257	Schaumburg	Q5966	03		seed.de_admin_kreis
03351	Celle	Q5919	03		seed.de_admin_kreis
03352	Cuxhaven	Q5897	03		seed.de_admin_kreis
03353	Harburg	Q5907	03		seed.de_admin_kreis
03354	Lüchow-Dannenberg	Q5913	03		seed.de_admin_kreis
03355	Lüneburg	Q5910	03		seed.de_admin_kreis
03356	Osterholz	Q5926	03		seed.de_admin_kreis
03357	Rotenburg (Wümme)	Q5923	03		seed.de_admin_kreis
03358	Heidekreis	Q5922	03		seed.de_admin_kreis
03359	Stade	Q5906	03		seed.de_admin_kreis
03360	Uelzen	Q5915	03		seed.de_admin_kreis
03361	Verden	Q5927	03		seed.de_admin_kreis
03401	Delmenhorst	Q3907	03		seed.de_admin_kreis
03402	Emden	Q4174	03		seed.de_admin_kreis
03403	Oldenburg (Oldb)	Q2936	03		seed.de_admin_kreis
03404	Osnabrück	Q2916	03		seed.de_admin_kreis
03405	Wilhelmshaven	Q3857	03		seed.de_admin_kreis
03451	Ammerland	Q5947	03		seed.de_admin_kreis
03452	Aurich	Q5929	03		seed.de_admin_kreis
03453	Cloppenburg	Q5945	03		seed.de_admin_kreis
03454	Emsland	Q5936	03		seed.de_admin_kreis
03455	Friesland	Q5932	03		seed.de_admin_kreis
03456	Grafschaft Bentheim	Q5939	03		seed.de_admin_kreis
03457	Leer	Q5934	03		seed.de_admin_kreis
03458	Oldenburg	Q5952	03		seed.de_admin_kreis
03459	Osnabrück	Q5940	03		seed.de_admin_kreis
03460	Vechta	Q5941	03		seed.de_admin_kreis
03461	Wesermarsch	Q5948	03		seed.de_admin_kreis
03462	Wittmund	Q5931	03		seed.de_admin_kreis
04011	Bremen	Q24879	04		seed.de_admin_kreis
04012	Bremerhaven	Q2706	04		seed.de_admin_kreis
05111	Düsseldorf	Q1718	05	051	seed.de_admin_kreis
05112	Duisburg	Q2100	05	051	seed.de_admin_kreis
05113	Essen	Q2066	05	051	seed.de_admin_kreis
05114	Krefeld	Q2805	05	051	seed.de_admin_kreis
05116	Mönchengladbach	Q2758	05	051	seed.de_admin_kreis
05117	Mülheim an der Ruhr	Q2899	05	051	seed.de_admin_kreis
05119	Oberhausen	Q2838	05	051	seed.de_admin_kreis
05120	Remscheid	Q3097	05	051	seed.de_admin_kreis
05122	Solingen	Q2942	05	051	seed.de_admin_kreis
05124	Wuppertal	Q2107	05	051	seed.de_admin_kreis
05154	Kleve	Q6246	05	051	seed.de_admin_kreis
05158	Mettmann	Q6257	05	051	seed.de_admin_kreis
05162	Rhein-Kreis Neuss	Q6253	05	051	seed.de_admin_kreis
05166	Viersen	Q6249	05	051	seed.de_admin_kreis
05170	Wesel	Q6245	05	051	seed.de_admin_kreis
05314	Bonn	Q586	05	053	seed.de_admin_kreis
05315	Köln	Q365	05	053	seed.de_admin_kreis
05316	Leverkusen	Q2938	05	053	seed.de_admin_kreis
05334	Städteregion Aachen	Q6272	05	053	seed.de_admin_kreis
05358	Düren	Q6275	05	053	seed.de_admin_kreis
05362	Rhein-Erft-Kreis	Q6292	05	053	seed.de_admin_kreis
05366	Euskirchen	Q6280	05	053	seed.de_admin_kreis
05370	Heinsberg	Q6264	05	053	seed.de_admin_kreis
05374	Oberbergischer Kreis	Q6298	05	053	seed.de_admin_kreis
05378	Rheinisch-Bergischer Kreis	Q6295	05	053	seed.de_admin_kreis
05382	Rhein-Sieg-Kreis	Q6287	05	053	seed.de_admin_kreis
05512	Bottrop	Q3069	05	055	seed.de_admin_kreis
05513	Gelsenkirchen	Q2765	05	055	seed.de_admin_kreis
05515	Münster	Q2742	05	055	seed.de_admin_kreis
05554	Borken	Q6191	05	055	seed.de_admin_kreis
05558	Coesfeld	Q6210	05	055	seed.de_admin_kreis
05562	Recklinghausen	Q6214	05	055	seed.de_admin_kreis
05566	Steinfurt	Q6187	05	055	seed.de_admin_kreis
05570	Warendorf	Q2839	05	055	seed.de_admin_kreis
05711	Bielefeld	Q2112	05	057	seed.de_admin_kreis
05754	Gütersloh	Q6218	05	057	seed.de_admin_kreis
05758	Herford	Q6234	05	057	seed.de_admin_kreis
05762	Höxter	Q6228	05	057	seed.de_admin_kreis
05766	Lippe	Q6230	05	057	seed.de_admin_kreis
05770	Minden-Lübbecke	Q6239	05	057	seed.de_admin_kreis
05774	Paderborn	Q6224	05	057	seed.de_admin_kreis
05911	Bochum	Q2103	05	059	seed.de_admin_kreis
05913	Dortmund	Q1295	05	059	seed.de_admin_kreis
05914	Hagen	Q2871	05	059	seed.de_admin_kreis
05915	Hamm	Q2880	05	059	seed.de_admin_kreis
05916	Herne	Q2904	05	059	seed.de_admin_kreis
05954	Ennepe-Ruhr-Kreis	Q11280	05	059	seed.de_admin_kreis
05958	Hochsauerlandkreis	Q5946	05	059	seed.de_admin_kreis
05962	Märkischer Kreis	Q5937	05	059	seed.de_admin_kreis
05966	Olpe	Q5953	05	059	seed.de_admin_kreis
05970	Siegen-Wittgenstein	Q5982	05	059	seed.de_admin_kreis
05974	Soest	Q5965	05	059	seed.de_admin_kreis
05978	Unna	Q6163	05	059	seed.de_admin_kreis
06411	Darmstadt	Q2973	06	064	seed.de_admin_kreis
06412	Frankfurt am Main	Q1794	06	064	seed.de_admin_kreis
06413	Offenbach am Main	Q3042	06	064	seed.de_admin_kreis
06414	Wiesbaden	Q1721	06	064	seed.de_admin_kreis
06431	Bergstraße	Q7917	06	064	seed.de_admin_kreis
06432	Darmstadt-Dieburg	Q7916	06	064	seed.de_admin_kreis
06433	Groß-Gerau	Q7914	06	064	seed.de_admin_kreis
06434	Hochtaunuskreis	Q7908	06	064	seed.de_admin_kreis
