admin_code	display_name	territory_wikidata_id	parent_kreis_code	source
01001000	Flensburg	Q3798	01001	seed.de_admin_municipality
01002000	Kiel	Q1707	01002	seed.de_admin_municipality
01003000	Lübeck	Q2843	01003	seed.de_admin_municipality
01004000	Neumünster	Q3879	01004	seed.de_admin_municipality
01051001	Albersdorf	Q499889	01051	seed.de_admin_municipality
01051002	Arkebek	Q552527	01051	seed.de_admin_municipality
01051003	Averlak	Q551777	01051	seed.de_admin_municipality
01051004	Bargenstedt	Q551789	01051	seed.de_admin_municipality
01051005	Barkenholm	Q543952	01051	seed.de_admin_municipality
01051006	Barlt	Q566389	01051	seed.de_admin_municipality
01051008	Bergewöhrden	Q551815	01051	seed.de_admin_municipality
01051010	Brickeln	Q552550	01051	seed.de_admin_municipality
01051011	Brunsbüttel	Q516635	01051	seed.de_admin_municipality
01051012	Buchholz	Q660887	01051	seed.de_admin_municipality
01051013	Büsum	Q20768	01051	seed.de_admin_municipality
01051014	Büsumer Deichhausen	Q551702	01051	seed.de_admin_municipality
01051015	Bunsoh	Q554182	01051	seed.de_admin_municipality
01051016	Burg (Dithmarschen)	Q544002	01051	seed.de_admin_municipality
01051017	Busenwurth	Q551670	01051	seed.de_admin_municipality
01051019	Dellstedt	Q551656	01051	seed.de_admin_municipality
01051020	Delve	Q551640	01051	seed.de_admin_municipality
01051021	Diekhusen-Fahrstedt	Q241303	01051	seed.de_admin_municipality
01051022	Dingen	Q551686	01051	seed.de_admin_municipality
01051023	Dörpling	Q551382	01051	seed.de_admin_municipality
01051024	Eddelak	Q551677	01051	seed.de_admin_municipality
01051026	Eggstedt	Q551833	01051	seed.de_admin_municipality
01051027	Elpersbüttel	Q533424	01051	seed.de_admin_municipality
01051028	Epenwöhrden	Q533471	01051	seed.de_admin_municipality
01051030	Fedderingen	Q533582	01051	seed.de_admin_municipality
01051032	Frestedt	Q537957	01051	seed.de_admin_municipality
01051033	Friedrichsgabekoog	Q212714	01051	seed.de_admin_municipality
01051034	Friedrichskoog	Q538124	01051	seed.de_admin_municipality
01051035	Gaushorn	Q254692	01051	seed.de_admin_municipality
01051036	Glüsing	Q551393	01051	seed.de_admin_municipality
01051037	Großenrade	Q551691	01051	seed.de_admin_municipality
01051038	Groven	Q551796	01051	seed.de_admin_municipality
01051039	Gudendorf	Q538628	01051	seed.de_admin_municipality
01051043	Hedwigenkoog	Q533392	01051	seed.de_admin_municipality
01051044	Heide	Q492322	01051	seed.de_admin_municipality
01051045	Hellschen-Heringsand-Unterschaar	Q538092	01051	seed.de_admin_municipality
01051046	Helse	Q526857	01051	seed.de_admin_municipality
01051047	Hemme	Q536551	01051	seed.de_admin_municipality
01051048	Hemmingstedt	Q522133	01051	seed.de_admin_municipality
01051049	Hennstedt	Q551632	01051	seed.de_admin_municipality
01051050	Hillgroven	Q525086	01051	seed.de_admin_municipality
01051051	Hochdonn	Q280452	01051	seed.de_admin_municipality
01051052	Hövede	Q524809	01051	seed.de_admin_municipality
01051053	Hollingstedt	Q551673	01051	seed.de_admin_municipality
01051054	Immenstedt	Q552531	01051	seed.de_admin_municipality
01051057	Kaiser-Wilhelm-Koog	Q533597	01051	seed.de_admin_municipality
01051058	Karolinenkoog	Q537846	01051	seed.de_admin_municipality
01051060	Kleve	Q629588	01051	seed.de_admin_municipality
01051061	Krempel	Q536520	01051	seed.de_admin_municipality
01051062	Kronprinzenkoog	Q528687	01051	seed.de_admin_municipality
01051063	Krumstedt	Q524650	01051	seed.de_admin_municipality
01051064	Kuden	Q629640	01051	seed.de_admin_municipality
01051065	Lehe	Q567442	01051	seed.de_admin_municipality
01051067	Lieth	Q558160	01051	seed.de_admin_municipality
01051068	Linden	Q390368	01051	seed.de_admin_municipality
01051069	Lohe-Rickelshof	Q550364	01051	seed.de_admin_municipality
01051071	Lunden	Q554187	01051	seed.de_admin_municipality
01051072	Marne	Q542799	01051	seed.de_admin_municipality
01051073	Marnerdeich	Q427511	01051	seed.de_admin_municipality
