level_code	admin_code	display_name	territory_wikidata_id	parent_level_code	parent_admin_code	source
region	084	Region Hovedstaden	Q26073			seed.dk_admin_region
region	085	Region Sjælland	Q26589			seed.dk_admin_region
region	083	Region Syddanmark	Q26061			seed.dk_admin_region
region	082	Region Midtjylland	Q26586			seed.dk_admin_region
region	081	Region Nordjylland	Q26067			seed.dk_admin_region
municipality	101	København	Q504125	region	084	seed.dk_admin_municipality
municipality	147	Frederiksberg	Q2488464	region	084	seed.dk_admin_municipality
municipality	155	Dragør	Q838823	region	084	seed.dk_admin_municipality
municipality	185	Tårnby	Q282496	region	084	seed.dk_admin_municipality
municipality	165	Albertslund	Q493833	region	084	seed.dk_admin_municipality
municipality	151	Ballerup	Q257223	region	084	seed.dk_admin_municipality
municipality	153	Brøndby	Q484038	region	084	seed.dk_admin_municipality
municipality	157	Gentofte	Q500076	region	084	seed.dk_admin_municipality
municipality	159	Gladsaxe	Q484018	region	084	seed.dk_admin_municipality
municipality	161	Glostrup	Q21006	region	084	seed.dk_admin_municipality
municipality	163	Herlev	Q164490	region	084	seed.dk_admin_municipality
municipality	167	Hvidovre	Q512562	region	084	seed.dk_admin_municipality
municipality	169	Høje-Taastrup	Q499400	region	084	seed.dk_admin_municipality
municipality	183	Ishøj	Q502040	region	084	seed.dk_admin_municipality
municipality	173	Lyngby-Taarbæk	Q493826	region	084	seed.dk_admin_municipality
municipality	175	Rødovre	Q503097	region	084	seed.dk_admin_municipality
municipality	187	Vallensbæk	Q514844	region	084	seed.dk_admin_municipality
municipality	201	Allerød	Q499479	region	084	seed.dk_admin_municipality
municipality	240	Egedal	Q505113	region	084	seed.dk_admin_municipality
municipality	210	Fredensborg	Q503045	region	084	seed.dk_admin_municipality
municipality	250	Frederikssund	Q503232	region	084	seed.dk_admin_municipality
municipality	190	Furesø	Q503138	region	084	seed.dk_admin_municipality
municipality	270	Gribskov	Q494827	region	084	seed.dk_admin_municipality
municipality	260	Halsnæs	Q505130	region	084	seed.dk_admin_municipality
municipality	217	Helsingør	Q511546	region	084	seed.dk_admin_municipality
municipality	219	Hillerød	Q221394	region	084	seed.dk_admin_municipality
municipality	223	Hørsholm	Q512540	region	084	seed.dk_admin_municipality
municipality	230	Rudersdal	Q511949	region	084	seed.dk_admin_municipality
municipality	400	Bornholm	Q2598329	region	084	seed.dk_admin_municipality
municipality	253	Greve	Q504977	region	085	seed.dk_admin_municipality
municipality	259	Køge	Q504664	region	085	seed.dk_admin_municipality
municipality	350	Lejre	Q505369	region	085	seed.dk_admin_municipality
municipality	265	Roskilde	Q510810	region	085	seed.dk_admin_municipality
municipality	269	Solrød	Q499469	region	085	seed.dk_admin_municipality
municipality	320	Faxe	Q505000	region	085	seed.dk_admin_municipality
municipality	376	Guldborgsund	Q510997	region	085	seed.dk_admin_municipality
municipality	316	Holbæk	Q503159	region	085	seed.dk_admin_municipality
municipality	326	Kalundborg	Q204976	region	085	seed.dk_admin_municipality
municipality	360	Lolland	Q670153	region	085	seed.dk_admin_municipality
municipality	370	Næstved	Q506716	region	085	seed.dk_admin_municipality
municipality	306	Odsherred	Q1425064	region	085	seed.dk_admin_municipality
municipality	329	Ringsted	Q503116	region	085	seed.dk_admin_municipality
municipality	330	Slagelse	Q29927	region	085	seed.dk_admin_municipality
municipality	340	Sorø	Q21151	region	085	seed.dk_admin_municipality
municipality	336	Stevns	Q503153	region	085	seed.dk_admin_municipality
municipality	390	Vordingborg	Q183572	region	085	seed.dk_admin_municipality
municipality	420	Assens	Q27967	region	083	seed.dk_admin_municipality
municipality	430	Faaborg-Midtfyn	Q27976	region	083	seed.dk_admin_municipality
municipality	440	Kerteminde	Q612488	region	083	seed.dk_admin_municipality
municipality	482	Langeland	Q506647	region	083	seed.dk_admin_municipality
municipality	410	Middelfart	Q21140	region	083	seed.dk_admin_municipality
municipality	480	Nordfyns	Q20770	region	083	seed.dk_admin_municipality
municipality	450	Nyborg	Q30013	region	083	seed.dk_admin_municipality
municipality	461	Odense	Q21146	region	083	seed.dk_admin_municipality
municipality	479	Svendborg	Q21182	region	083	seed.dk_admin_municipality
municipality	492	Ærø	Q21104	region	083	seed.dk_admin_municipality
municipality	530	Billund	Q27875	region	083	seed.dk_admin_municipality
municipality	561	Esbjerg	Q645747	region	083	seed.dk_admin_municipality
municipality	563	Fanø	Q493285	region	083	seed.dk_admin_municipality
municipality	607	Fredericia	Q21145	region	083	seed.dk_admin_municipality
municipality	510	Haderslev	Q21143	region	083	seed.dk_admin_municipality
municipality	621	Kolding	Q21101	region	083	seed.dk_admin_municipality
municipality	540	Sønderborg	Q21108	region	083	seed.dk_admin_municipality
municipality	550	Tønder	Q3162907	region	083	seed.dk_admin_municipality
municipality	573	Varde	Q21142	region	083	seed.dk_admin_municipality
municipality	575	Vejen	Q21150	region	083	seed.dk_admin_municipality
municipality	630	Vejle	Q28150	region	083	seed.dk_admin_municipality
municipality	580	Aabenraa	Q21152	region	083	seed.dk_admin_municipality
municipality	710	Favrskov	Q512550	region	082	seed.dk_admin_municipality
municipality	766	Hedensted	Q515986	region	082	seed.dk_admin_municipality
municipality	615	Horsens	Q512064	region	082	seed.dk_admin_municipality
municipality	707	Norddjurs	Q505156	region	082	seed.dk_admin_municipality
municipality	727	Odder	Q500058	region	082	seed.dk_admin_municipality
municipality	730	Randers	Q512457	region	082	seed.dk_admin_municipality
municipality	741	Samsø	Q513256	region	082	seed.dk_admin_municipality
municipality	740	Silkeborg	Q505151	region	082	seed.dk_admin_municipality
municipality	746	Skanderborg	Q7725510	region	082	seed.dk_admin_municipality
municipality	706	Syddjurs	Q512581	region	082	seed.dk_admin_municipality
municipality	751	Aarhus	Q240262	region	082	seed.dk_admin_municipality
municipality	657	Herning	Q506877	region	082	seed.dk_admin_municipality
municipality	661	Holstebro	Q506109	region	082	seed.dk_admin_municipality
municipality	756	Ikast-Brande	Q512595	region	082	seed.dk_admin_municipality
municipality	665	Lemvig	Q502644	region	082	seed.dk_admin_municipality
municipality	760	Ringkøbing-Skjern	Q514777	region	082	seed.dk_admin_municipality
municipality	779	Skive	Q503108	region	082	seed.dk_admin_municipality
municipality	671	Struer	Q503227	region	082	seed.dk_admin_municipality
municipality	791	Viborg	Q502962	region	082	seed.dk_admin_municipality
municipality	810	Brønderslev	Q511376	region	081	seed.dk_admin_municipality
municipality	813	Frederikshavn	Q502168	region	081	seed.dk_admin_municipality
municipality	860	Hjørring	Q511214	region	081	seed.dk_admin_municipality
municipality	849	Jammerbugt	Q503222	region	081	seed.dk_admin_municipality
municipality	825	Læsø	Q498457	region	081	seed.dk_admin_municipality
