level_code	admin_code	display_name	territory_name	territory_wikidata_id	territory_type	parent_level_code	parent_admin_code	source
autonomous_community_or_city	01	Andalucía	Andalusia	Q5783	region			seed.es_admin_autonomous_community_or_city
autonomous_community_or_city	02	Aragón	Aragon	Q4040	region			seed.es_admin_autonomous_community_or_city
autonomous_community_or_city	03	Asturias	Asturias	Q3934	region			seed.es_admin_autonomous_community_or_city
autonomous_community_or_city	04	Illes Balears	Balearic Islands	Q107356467	region			seed.es_admin_autonomous_community_or_city
autonomous_community_or_city	05	Canarias	Canary Islands	Q5813	region			seed.es_admin_autonomous_community_or_city
autonomous_community_or_city	06	Cantabria	Cantabria	Q3946	region			seed.es_admin_autonomous_community_or_city
autonomous_community_or_city	07	Castilla y León	Castile and León	Q5739	region			seed.es_admin_autonomous_community_or_city
autonomous_community_or_city	08	Castilla-La Mancha	Castile–La Mancha	Q5748	region			seed.es_admin_autonomous_community_or_city
autonomous_community_or_city	09	Cataluña	Catalonia	Q5705	region			seed.es_admin_autonomous_community_or_city
autonomous_community_or_city	10	Comunitat Valenciana	Valencian Community	Q5720	region			seed.es_admin_autonomous_community_or_city
autonomous_community_or_city	11	Extremadura	Extremadura	Q5777	region			seed.es_admin_autonomous_community_or_city
autonomous_community_or_city	12	Galicia	Galicia	Q3908	region			seed.es_admin_autonomous_community_or_city
autonomous_community_or_city	13	Comunidad de Madrid	Community of Madrid	Q5756	region			seed.es_admin_autonomous_community_or_city
autonomous_community_or_city	14	Región de Murcia	Region of Murcia	Q5772	region			seed.es_admin_autonomous_community_or_city
autonomous_community_or_city	15	Navarra	Navarre	Q4018	region			seed.es_admin_autonomous_community_or_city
autonomous_community_or_city	16	País Vasco	Basque Country	Q3995	region			seed.es_admin_autonomous_community_or_city
autonomous_community_or_city	17	La Rioja	La Rioja	Q5727	region			seed.es_admin_autonomous_community_or_city
autonomous_community_or_city	18	Ceuta	Ceuta	Q5823	region			seed.es_admin_autonomous_community_or_city
autonomous_community_or_city	19	Melilla	Melilla	Q5831	municipality			seed.es_admin_autonomous_community_or_city
province	01	Álava	Álava	Q81801	province	autonomous_community_or_city	16	seed.es_admin_province
province	02	Albacete	Albacete Province	Q54889	province	autonomous_community_or_city	08	seed.es_admin_province
province	03	Alicante	Province of Alicante	Q54936	province	autonomous_community_or_city	10	seed.es_admin_province
province	04	Almería	Almería Province	Q81802	province	autonomous_community_or_city	01	seed.es_admin_province
province	05	Ávila	Province of Ávila	Q55288	province	autonomous_community_or_city	07	seed.es_admin_province
province	06	Badajoz	Province of Badajoz	Q81803	province	autonomous_community_or_city	11	seed.es_admin_province
province	07	Illes Balears	Balearic Islands	Q107356469	province	autonomous_community_or_city	04	seed.es_admin_province
province	08	Barcelona	Barcelona Province	Q81949	province	autonomous_community_or_city	09	seed.es_admin_province
province	09	Burgos	Province of Burgos	Q55271	province	autonomous_community_or_city	07	seed.es_admin_province
province	10	Cáceres	Cáceres Province	Q81977	province	autonomous_community_or_city	11	seed.es_admin_province
province	11	Cádiz	Cádiz Province	Q81978	province	autonomous_community_or_city	01	seed.es_admin_province
province	12	Castellón	Castellón	Q54942	province	autonomous_community_or_city	10	seed.es_admin_province
province	13	Ciudad Real	Province of Ciudad Real	Q54932	province	autonomous_community_or_city	08	seed.es_admin_province
province	14	Córdoba	Córdoba Province	Q81972	province	autonomous_community_or_city	01	seed.es_admin_province
province	15	A Coruña	A Coruña Province	Q82119	province	autonomous_community_or_city	12	seed.es_admin_province
province	16	Cuenca	Cuenca Province	Q54888	province	autonomous_community_or_city	08	seed.es_admin_province
province	17	Girona	Province of Girona	Q7194	province	autonomous_community_or_city	09	seed.es_admin_province
province	18	Granada	Province of Granada	Q82142	province	autonomous_community_or_city	01	seed.es_admin_province
province	19	Guadalajara	Guadalajara Province	Q54925	province	autonomous_community_or_city	08	seed.es_admin_province
province	20	Gipuzkoa	Gipuzkoa	Q95010	province	autonomous_community_or_city	16	seed.es_admin_province
province	21	Huelva	Province of Huelva	Q95015	province	autonomous_community_or_city	01	seed.es_admin_province
province	22	Huesca	Huesca Province	Q55182	province	autonomous_community_or_city	02	seed.es_admin_province
province	23	Jaén	Jaén Province	Q95025	province	autonomous_community_or_city	01	seed.es_admin_province
province	24	León	León Province	Q71140	province	autonomous_community_or_city	07	seed.es_admin_province
province	25	Lleida	Province of Lleida	Q13904	province	autonomous_community_or_city	09	seed.es_admin_province
province	26	La Rioja	La Rioja	Q5727	province	autonomous_community_or_city	17	seed.es_admin_province
province	27	Lugo	Lugo Province	Q95027	province	autonomous_community_or_city	12	seed.es_admin_province
province	28	Madrid	Community of Madrid	Q5756	province	autonomous_community_or_city	13	seed.es_admin_province
province	29	Málaga	Málaga Province	Q95028	province	autonomous_community_or_city	01	seed.es_admin_province
province	30	Murcia	Region of Murcia	Q5772	province	autonomous_community_or_city	14	seed.es_admin_province
province	31	Navarra	Navarre	Q4018	province	autonomous_community_or_city	15	seed.es_admin_province
province	32	Ourense	Ourense	Q95038	province	autonomous_community_or_city	12	seed.es_admin_province
province	33	Asturias	Province of Asturias	Q24004403	province	autonomous_community_or_city	03	seed.es_admin_province
province	34	Palencia	Palencia Province	Q55269	province	autonomous_community_or_city	07	seed.es_admin_province
province	35	Las Palmas	Las Palmas	Q95080	province	autonomous_community_or_city	05	seed.es_admin_province
province	36	Pontevedra	Pontevedra Province	Q95086	province	autonomous_community_or_city	12	seed.es_admin_province
province	37	Salamanca	Province of Salamanca	Q71080	province	autonomous_community_or_city	07	seed.es_admin_province
province	38	Santa Cruz de Tenerife	Santa Cruz de Tenerife Province	Q99976	province	autonomous_community_or_city	05	seed.es_admin_province
province	39	Cantabria	Cantabria Province	Q31920747	province	autonomous_community_or_city	06	seed.es_admin_province
province	40	Segovia	Segovia Province	Q55283	province	autonomous_community_or_city	07	seed.es_admin_province
province	41	Sevilla	Seville Province	Q95088	province	autonomous_community_or_city	01	seed.es_admin_province
province	42	Soria	Soria Province	Q55276	province	autonomous_community_or_city	07	seed.es_admin_province
province	43	Tarragona	Province of Tarragona	Q98392	province	autonomous_community_or_city	09	seed.es_admin_province
province	44	Teruel	Teruel Province	Q54955	province	autonomous_community_or_city	02	seed.es_admin_province
province	45	Toledo	Toledo Province	Q54929	province	autonomous_community_or_city	08	seed.es_admin_province
province	46	Valencia	Province of Valencia	Q54939	province	autonomous_community_or_city	10	seed.es_admin_province
province	47	Valladolid	Valladolid Province	Q71097	province	autonomous_community_or_city	07	seed.es_admin_province
province	48	Bizkaia	Biscay	Q93366	province	autonomous_community_or_city	16	seed.es_admin_province
province	49	Zamora	Zamora Province	Q71113	province	autonomous_community_or_city	07	seed.es_admin_province
province	50	Zaragoza	Zaragoza Province	Q55180	province	autonomous_community_or_city	02	seed.es_admin_province
province	51	Ceuta	Ceuta	Q5823	province	autonomous_community_or_city	18	seed.es_admin_province
province	52	Melilla	Melilla	Q5831	province	autonomous_community_or_city	19	seed.es_admin_province
municipality	01001	Alegría-Dulantzi	Alegría/Dulantzi	Q1330796	municipality	province	01	seed.es_admin_municipality
municipality	01002	Amurrio	Amurrio	Q481760	municipality	province	01	seed.es_admin_municipality
municipality	01003	Aramaio	Aramaio	Q976743	municipality	province	01	seed.es_admin_municipality
municipality	01004	Artziniega	Artziniega	Q587131	municipality	province	01	seed.es_admin_municipality
municipality	01006	Armiñón	Armiñón	Q1113519	municipality	province	01	seed.es_admin_municipality
municipality	01008	Arratzua-Ubarrundia	Arratzua-Ubarrundia	Q1368923	municipality	province	01	seed.es_admin_municipality
municipality	01009	Asparrena	Asparrena	Q1368957	municipality	province	01	seed.es_admin_municipality
municipality	01010	Ayala/Aiara	Ayala-Aiara	Q1368772	municipality	province	01	seed.es_admin_municipality
municipality	01011	Baños de Ebro/Mañueta	Baños de Ebro	Q1382239	municipality	province	01	seed.es_admin_municipality
municipality	01013	Barrundia	Barrundia	Q961216	municipality	province	01	seed.es_admin_municipality
municipality	01014	Berantevilla	Berantevilla	Q1368868	municipality	province	01	seed.es_admin_municipality
municipality	01016	Bernedo	Bernedo	Q1368822	municipality	province	01	seed.es_admin_municipality
municipality	01017	Campezo/Kanpezu	Campezo/Kanpezu	Q1373973	municipality	province	01	seed.es_admin_municipality
municipality	01018	Zigoitia	Zigoitia	Q1443528	municipality	province	01	seed.es_admin_municipality
municipality	01019	Kripan	Kripan	Q1369053	municipality	province	01	seed.es_admin_municipality
municipality	01020	Kuartango	Kuartango	Q1368846	municipality	province	01	seed.es_admin_municipality
municipality	01021	Elburgo/Burgelu	Elburgo/Burgelu	Q1382246	municipality	province	01	seed.es_admin_municipality
municipality	01022	Elciego	Elciego	Q1368834	municipality	province	01	seed.es_admin_municipality
municipality	01023	Elvillar/Bilar	Elvillar/Bilar	Q1368805	municipality	province	01	seed.es_admin_municipality
municipality	01027	Iruraiz-Gauna	Iruraiz-Gauna	Q1443812	municipality	province	01	seed.es_admin_municipality
municipality	01028	Labastida/Bastida	Labastida	Q1155351	municipality	province	01	seed.es_admin_municipality
municipality	01030	Lagrán	Lagrán	Q1382223	municipality	province	01	seed.es_admin_municipality
municipality	01031	Laguardia	Laguardia - Guardia	Q303629	municipality	province	01	seed.es_admin_municipality
municipality	01032	Lanciego/Lantziego	Lanciego/Lantziego	Q1443959	municipality	province	01	seed.es_admin_municipality
municipality	01033	Lapuebla de Labarca	Lapuebla de Labarca	Q1445242	municipality	province	01	seed.es_admin_municipality
municipality	01034	Leza	Leza	Q1382266	municipality	province	01	seed.es_admin_municipality
municipality	01036	Laudio/Llodio	Laudio/Llodio	Q676903	municipality	province	01	seed.es_admin_municipality
municipality	01037	Arraia-Maeztu	Arraia-Maeztu	Q1369040	municipality	province	01	seed.es_admin_municipality
municipality	01039	Moreda de Álava/Moreda Araba	Moreda de Álava/Moreda Araba	Q1442886	municipality	province	01	seed.es_admin_municipality
municipality	01041	Navaridas	Navaridas	Q1442870	municipality	province	01	seed.es_admin_municipality
municipality	01042	Okondo	Okondo	Q1368782	municipality	province	01	seed.es_admin_municipality
municipality	01043	Oyón-Oion	Oyón-Oion	Q581589	municipality	province	01	seed.es_admin_municipality
municipality	01044	Peñacerrada-Urizaharra	Peñacerrada-Urizaharra	Q1452675	municipality	province	01	seed.es_admin_municipality
municipality	01046	Erriberagoitia/Ribera Alta	Ribera Alta/Erriberagoitia	Q1633915	municipality	province	01	seed.es_admin_municipality
municipality	01047	Ribera Baja/Erriberabeitia	Ribera Baja/Erribera Beitia	Q1445256	municipality	province	01	seed.es_admin_municipality
municipality	01049	Añana	Añana	Q1113405	municipality	province	01	seed.es_admin_municipality
