level_code	admin_code	display_name	territory_wikidata_id	parent_level_code	parent_admin_code	source
arrondissement	011	Belley	Q700647	department	01	seed.fr_admin_arrondissement
arrondissement	012	Bourg-en-Bresse	Q700721	department	01	seed.fr_admin_arrondissement
arrondissement	013	Gex	Q701238	department	01	seed.fr_admin_arrondissement
arrondissement	014	Nantua	Q682085	department	01	seed.fr_admin_arrondissement
arrondissement	021	Château-Thierry	Q700965	department	02	seed.fr_admin_arrondissement
arrondissement	022	Laon	Q701410	department	02	seed.fr_admin_arrondissement
arrondissement	023	Saint-Quentin	Q702444	department	02	seed.fr_admin_arrondissement
arrondissement	024	Soissons	Q702552	department	02	seed.fr_admin_arrondissement
arrondissement	025	Vervins	Q702745	department	02	seed.fr_admin_arrondissement
arrondissement	031	Montluçon	Q701790	department	03	seed.fr_admin_arrondissement
arrondissement	032	Moulins	Q701834	department	03	seed.fr_admin_arrondissement
arrondissement	033	Vichy	Q702763	department	03	seed.fr_admin_arrondissement
arrondissement	041	Barcelonnette	Q700581	department	04	seed.fr_admin_arrondissement
arrondissement	042	Castellane	Q700839	department	04	seed.fr_admin_arrondissement
arrondissement	043	Digne-les-Bains	Q701110	department	04	seed.fr_admin_arrondissement
arrondissement	044	Forcalquier	Q282593	department	04	seed.fr_admin_arrondissement
arrondissement	051	Briançon	Q700744	department	05	seed.fr_admin_arrondissement
arrondissement	052	Gap	Q701227	department	05	seed.fr_admin_arrondissement
arrondissement	061	Grasse	Q701253	department	06	seed.fr_admin_arrondissement
arrondissement	062	Nice	Q701950	department	06	seed.fr_admin_arrondissement
arrondissement	071	Largentière	Q701417	department	07	seed.fr_admin_arrondissement
arrondissement	072	Privas	Q702130	department	07	seed.fr_admin_arrondissement
arrondissement	073	Tournon-sur-Rhône	Q702655	department	07	seed.fr_admin_arrondissement
arrondissement	081	Charleville-Mézières	Q700882	department	08	seed.fr_admin_arrondissement
arrondissement	082	Rethel	Q702199	department	08	seed.fr_admin_arrondissement
arrondissement	083	Sedan	Q702514	department	08	seed.fr_admin_arrondissement
arrondissement	084	Vouziers	Q702812	department	08	seed.fr_admin_arrondissement
arrondissement	091	Foix	Q518212	department	09	seed.fr_admin_arrondissement
arrondissement	092	Pamiers	Q702045	department	09	seed.fr_admin_arrondissement
arrondissement	093	Saint-Girons	Q702350	department	09	seed.fr_admin_arrondissement
arrondissement	101	Bar-sur-Aube	Q700574	department	10	seed.fr_admin_arrondissement
arrondissement	102	Nogent-sur-Seine	Q639304	department	10	seed.fr_admin_arrondissement
arrondissement	103	Troyes	Q702672	department	10	seed.fr_admin_arrondissement
arrondissement	111	Carcassonne	Q700826	department	11	seed.fr_admin_arrondissement
arrondissement	112	Limoux	Q701530	department	11	seed.fr_admin_arrondissement
arrondissement	113	Narbonne	Q701903	department	11	seed.fr_admin_arrondissement
arrondissement	121	Millau	Q701708	department	12	seed.fr_admin_arrondissement
arrondissement	122	Rodez	Q702245	department	12	seed.fr_admin_arrondissement
arrondissement	123	Villefranche-de-Rouergue	Q175478	department	12	seed.fr_admin_arrondissement
arrondissement	131	Aix-en-Provence	Q700364	department	13	seed.fr_admin_arrondissement
arrondissement	132	Arles	Q700484	department	13	seed.fr_admin_arrondissement
arrondissement	133	Marseille	Q701646	department	13	seed.fr_admin_arrondissement
arrondissement	134	Istres	Q701325	department	13	seed.fr_admin_arrondissement
arrondissement	141	Bayeux	Q700609	department	14	seed.fr_admin_arrondissement
arrondissement	142	Caen	Q700794	department	14	seed.fr_admin_arrondissement
arrondissement	143	Lisieux	Q701531	department	14	seed.fr_admin_arrondissement
arrondissement	144	Vire	Q702799	department	14	seed.fr_admin_arrondissement
arrondissement	151	Aurillac	Q700521	department	15	seed.fr_admin_arrondissement
arrondissement	152	Mauriac	Q701652	department	15	seed.fr_admin_arrondissement
arrondissement	153	Saint-Flour	Q702330	department	15	seed.fr_admin_arrondissement
arrondissement	161	Angoulême	Q700427	department	16	seed.fr_admin_arrondissement
arrondissement	162	Cognac	Q701022	department	16	seed.fr_admin_arrondissement
arrondissement	163	Confolens	Q701047	department	16	seed.fr_admin_arrondissement
arrondissement	171	Jonzac	Q302457	department	17	seed.fr_admin_arrondissement
arrondissement	172	Rochefort	Q376598	department	17	seed.fr_admin_arrondissement
arrondissement	173	La Rochelle	Q701370	department	17	seed.fr_admin_arrondissement
arrondissement	174	Saintes	Q702457	department	17	seed.fr_admin_arrondissement
arrondissement	175	Saint-Jean-d'Angély	Q702364	department	17	seed.fr_admin_arrondissement
arrondissement	181	Bourges	Q700723	department	18	seed.fr_admin_arrondissement
arrondissement	182	Saint-Amand-Montrond	Q165750	department	18	seed.fr_admin_arrondissement
arrondissement	183	Vierzon	Q600838	department	18	seed.fr_admin_arrondissement
arrondissement	191	Brive-la-Gaillarde	Q700768	department	19	seed.fr_admin_arrondissement
arrondissement	192	Tulle	Q702671	department	19	seed.fr_admin_arrondissement
arrondissement	193	Ussel	Q702689	department	19	seed.fr_admin_arrondissement
arrondissement	211	Beaune	Q14812	department	21	seed.fr_admin_arrondissement
arrondissement	212	Dijon	Q18114	department	21	seed.fr_admin_arrondissement
arrondissement	213	Montbard	Q134680	department	21	seed.fr_admin_arrondissement
arrondissement	221	Dinan	Q701131	department	22	seed.fr_admin_arrondissement
arrondissement	222	Guingamp	Q701268	department	22	seed.fr_admin_arrondissement
arrondissement	223	Lannion	Q584641	department	22	seed.fr_admin_arrondissement
arrondissement	224	Saint-Brieuc	Q586597	department	22	seed.fr_admin_arrondissement
arrondissement	231	Aubusson	Q700507	department	23	seed.fr_admin_arrondissement
arrondissement	232	Guéret	Q520913	department	23	seed.fr_admin_arrondissement
arrondissement	241	Bergerac	Q700649	department	24	seed.fr_admin_arrondissement
arrondissement	242	Nontron	Q701978	department	24	seed.fr_admin_arrondissement
arrondissement	243	Périgueux	Q702145	department	24	seed.fr_admin_arrondissement
arrondissement	244	Sarlat-la-Canéda	Q702471	department	24	seed.fr_admin_arrondissement
arrondissement	251	Besançon	Q700660	department	25	seed.fr_admin_arrondissement
arrondissement	252	Montbéliard	Q701773	department	25	seed.fr_admin_arrondissement
arrondissement	253	Pontarlier	Q515493	department	25	seed.fr_admin_arrondissement
arrondissement	261	Die	Q701097	department	26	seed.fr_admin_arrondissement
arrondissement	262	Nyons	Q600345	department	26	seed.fr_admin_arrondissement
arrondissement	263	Valence	Q702697	department	26	seed.fr_admin_arrondissement
arrondissement	271	Les Andelys	Q701477	department	27	seed.fr_admin_arrondissement
arrondissement	272	Bernay	Q700664	department	27	seed.fr_admin_arrondissement
arrondissement	273	Évreux	Q702864	department	27	seed.fr_admin_arrondissement
arrondissement	281	Chartres	Q700901	department	28	seed.fr_admin_arrondissement
arrondissement	282	Châteaudun	Q700981	department	28	seed.fr_admin_arrondissement
arrondissement	283	Dreux	Q701155	department	28	seed.fr_admin_arrondissement
arrondissement	284	Nogent-le-Rotrou	Q701961	department	28	seed.fr_admin_arrondissement
arrondissement	291	Brest	Q700737	department	29	seed.fr_admin_arrondissement
arrondissement	292	Châteaulin	Q1115786	department	29	seed.fr_admin_arrondissement
arrondissement	293	Morlaix	Q547847	department	29	seed.fr_admin_arrondissement
arrondissement	294	Quimper	Q702161	department	29	seed.fr_admin_arrondissement
arrondissement	2A1	Ajaccio	Q700367	department	2A	seed.fr_admin_arrondissement
arrondissement	2A4	Sartène	Q702491	department	2A	seed.fr_admin_arrondissement
arrondissement	2B2	Bastia	Q700595	department	2B	seed.fr_admin_arrondissement
arrondissement	2B3	Corte	Q667555	department	2B	seed.fr_admin_arrondissement
arrondissement	2B5	Calvi	Q700811	department	2B	seed.fr_admin_arrondissement
arrondissement	301	Alès	Q700396	department	30	seed.fr_admin_arrondissement
arrondissement	302	Nîmes	Q702009	department	30	seed.fr_admin_arrondissement
arrondissement	303	Le Vigan	Q701465	department	30	seed.fr_admin_arrondissement
arrondissement	311	Muret	Q701851	department	31	seed.fr_admin_arrondissement
arrondissement	312	Saint-Gaudens	Q702334	department	31	seed.fr_admin_arrondissement
arrondissement	313	Toulouse	Q702642	department	31	seed.fr_admin_arrondissement
arrondissement	321	Auch	Q700509	department	32	seed.fr_admin_arrondissement
arrondissement	322	Condom	Q701044	department	32	seed.fr_admin_arrondissement
arrondissement	323	Mirande	Q701711	department	32	seed.fr_admin_arrondissement
arrondissement	331	Blaye	Q268470	department	33	seed.fr_admin_arrondissement
arrondissement	332	Bordeaux	Q700697	department	33	seed.fr_admin_arrondissement
arrondissement	333	Langon	Q701386	department	33	seed.fr_admin_arrondissement
arrondissement	334	Lesparre-Médoc	Q284277	department	33	seed.fr_admin_arrondissement
arrondissement	335	Libourne	Q549111	department	33	seed.fr_admin_arrondissement
arrondissement	336	Arcachon	Q700461	department	33	seed.fr_admin_arrondissement
arrondissement	341	Béziers	Q630159	department	34	seed.fr_admin_arrondissement
arrondissement	342	Lodève	Q701546	department	34	seed.fr_admin_arrondissement
arrondissement	343	Montpellier	Q701804	department	34	seed.fr_admin_arrondissement
arrondissement	351	Fougères-Vitré	Q701222	department	35	seed.fr_admin_arrondissement
arrondissement	352	Redon	Q702180	department	35	seed.fr_admin_arrondissement
arrondissement	353	Rennes	Q702196	department	35	seed.fr_admin_arrondissement
arrondissement	354	Saint-Malo	Q702395	department	35	seed.fr_admin_arrondissement
arrondissement	361	Le Blanc	Q701430	department	36	seed.fr_admin_arrondissement
arrondissement	362	Châteauroux	Q700994	department	36	seed.fr_admin_arrondissement
arrondissement	363	La Châtre	Q701341	department	36	seed.fr_admin_arrondissement
arrondissement	364	Issoudun	Q701315	department	36	seed.fr_admin_arrondissement
arrondissement	371	Chinon	Q700916	department	37	seed.fr_admin_arrondissement
arrondissement	372	Tours	Q702657	department	37	seed.fr_admin_arrondissement
arrondissement	373	Loches	Q701543	department	37	seed.fr_admin_arrondissement
arrondissement	381	Grenoble	Q132224	department	38	seed.fr_admin_arrondissement
arrondissement	382	La Tour-du-Pin	Q701368	department	38	seed.fr_admin_arrondissement
arrondissement	383	Vienne	Q702768	department	38	seed.fr_admin_arrondissement
arrondissement	391	Dole	Q701143	department	39	seed.fr_admin_arrondissement
arrondissement	392	Lons-le-Saunier	Q1116153	department	39	seed.fr_admin_arrondissement
arrondissement	393	Saint-Claude	Q201008	department	39	seed.fr_admin_arrondissement
arrondissement	401	Dax	Q701083	department	40	seed.fr_admin_arrondissement
arrondissement	402	Mont-de-Marsan	Q571456	department	40	seed.fr_admin_arrondissement
arrondissement	411	Blois	Q700678	department	41	seed.fr_admin_arrondissement
arrondissement	412	Vendôme	Q702713	department	41	seed.fr_admin_arrondissement
arrondissement	413	Romorantin-Lanthenay	Q543784	department	41	seed.fr_admin_arrondissement
arrondissement	421	Montbrison	Q701760	department	42	seed.fr_admin_arrondissement
arrondissement	422	Roanne	Q702225	department	42	seed.fr_admin_arrondissement
arrondissement	423	Saint-Étienne	Q702441	department	42	seed.fr_admin_arrondissement
arrondissement	431	Brioude	Q633970	department	43	seed.fr_admin_arrondissement
arrondissement	432	Le Puy-en-Velay	Q701452	department	43	seed.fr_admin_arrondissement
arrondissement	433	Yssingeaux	Q702836	department	43	seed.fr_admin_arrondissement
arrondissement	442	Nantes	Q596603	department	44	seed.fr_admin_arrondissement
arrondissement	443	Saint-Nazaire	Q180843	department	44	seed.fr_admin_arrondissement
arrondissement	445	Châteaubriant-Ancenis	Q28476540	department	44	seed.fr_admin_arrondissement
arrondissement	451	Montargis	Q701744	department	45	seed.fr_admin_arrondissement
arrondissement	452	Orléans	Q702025	department	45	seed.fr_admin_arrondissement
arrondissement	453	Pithiviers	Q585013	department	45	seed.fr_admin_arrondissement
