admin_code	display_name	territory_wikidata_id	source
IE-CE	County Clare	Q181862	seed.ie_admin_county
IE-CN	County Cavan	Q187402	seed.ie_admin_county
IE-CO	County Cork	Q162475	seed.ie_admin_county
IE-CW	County Carlow	Q181882	seed.ie_admin_county
IE-D	County Dublin	Q173500	seed.ie_admin_county
IE-DL	County Donegal	Q179424	seed.ie_admin_county
IE-G	County Galway	Q169923	seed.ie_admin_county
IE-KE	County Kildare	Q173332	seed.ie_admin_county
IE-KK	County Kilkenny	Q180231	seed.ie_admin_county
IE-KY	County Kerry	Q184469	seed.ie_admin_county
IE-LD	County Longford	Q186220	seed.ie_admin_county
IE-LH	County Louth	Q183539	seed.ie_admin_county
IE-LK	County Limerick	Q178283	seed.ie_admin_county
IE-LM	County Leitrim	Q107397	seed.ie_admin_county
IE-LS	County Laois	Q55299	seed.ie_admin_county
IE-MH	County Meath	Q183544	seed.ie_admin_county
IE-MN	County Monaghan	Q184760	seed.ie_admin_county
IE-MO	County Mayo	Q178626	seed.ie_admin_county
IE-OY	County Offaly	Q184445	seed.ie_admin_county
IE-RN	County Roscommon	Q179437	seed.ie_admin_county
IE-SO	County Sligo	Q179325	seed.ie_admin_county
IE-TA	County Tipperary	Q184618	seed.ie_admin_county
IE-WD	County Waterford	Q184594	seed.ie_admin_county
IE-WH	County Westmeath	Q182633	seed.ie_admin_county
IE-WW	County Wicklow	Q182591	seed.ie_admin_county
IE-WX	County Wexford	Q184599	seed.ie_admin_county
