level_code	admin_code	display_name	territory_wikidata_id	parent_level_code	parent_admin_code	source
canton	01	Capellen	Q397678			seed.lu_admin_canton
canton	02	Esch-sur-Alzette	Q188283			seed.lu_admin_canton
canton	03	Luxembourg	Q691741			seed.lu_admin_canton
canton	04	Mersch	Q753917			seed.lu_admin_canton
canton	05	Clervaux	Q691793			seed.lu_admin_canton
canton	06	Diekirch	Q691842			seed.lu_admin_canton
canton	07	Redange	Q835980			seed.lu_admin_canton
canton	08	Wiltz	Q550021			seed.lu_admin_canton
canton	09	Vianden	Q845600			seed.lu_admin_canton
canton	10	Echternach	Q720221			seed.lu_admin_canton
canton	11	Grevenmacher	Q836002			seed.lu_admin_canton
canton	12	Remich	Q691781			seed.lu_admin_canton
municipality	0101	Dippach	Q426998	canton	01	seed.lu_admin_municipality
municipality	0102	Garnich	Q985388	canton	01	seed.lu_admin_municipality
municipality	0103	Habscht	Q958682	canton	01	seed.lu_admin_municipality
municipality	0104	Käerjeng	Q776642	canton	01	seed.lu_admin_municipality
municipality	0105	Kehlen	Q432495	canton	01	seed.lu_admin_municipality
municipality	0106	Koerich	Q985471	canton	01	seed.lu_admin_municipality
municipality	0107	Kopstal	Q985477	canton	01	seed.lu_admin_municipality
municipality	0108	Mamer	Q921291	canton	01	seed.lu_admin_municipality
municipality	0110	Steinfort	Q985478	canton	01	seed.lu_admin_municipality
municipality	0201	Bettembourg	Q832342	canton	02	seed.lu_admin_municipality
municipality	0202	Differdange	Q16012	canton	02	seed.lu_admin_municipality
municipality	0203	Dudelange	Q16014	canton	02	seed.lu_admin_municipality
municipality	0204	Esch-sur-Alzette	Q16010	canton	02	seed.lu_admin_municipality
municipality	0205	Frisange	Q1017402	canton	02	seed.lu_admin_municipality
municipality	0206	Kayl	Q939625	canton	02	seed.lu_admin_municipality
municipality	0207	Leudelange	Q985382	canton	02	seed.lu_admin_municipality
municipality	0208	Mondercange	Q939598	canton	02	seed.lu_admin_municipality
municipality	0209	Pétange	Q602441	canton	02	seed.lu_admin_municipality
municipality	0210	Reckange-sur-Mess	Q783026	canton	02	seed.lu_admin_municipality
municipality	0211	Roeser	Q683922	canton	02	seed.lu_admin_municipality
municipality	0212	Rumelange	Q914847	canton	02	seed.lu_admin_municipality
municipality	0213	Sanem	Q677804	canton	02	seed.lu_admin_municipality
municipality	0214	Schifflange	Q669155	canton	02	seed.lu_admin_municipality
municipality	0301	Bertrange	Q809603	canton	03	seed.lu_admin_municipality
municipality	0302	Contern	Q596040	canton	03	seed.lu_admin_municipality
municipality	0303	Hesperange	Q921321	canton	03	seed.lu_admin_municipality
municipality	0304	Luxembourg	Q1842	canton	03	seed.lu_admin_municipality
municipality	0305	Niederanven	Q985402	canton	03	seed.lu_admin_municipality
