level_code	admin_code	display_name	territory_name	territory_wikidata_id	territory_type	parent_level_code	parent_admin_code	source
province	PV20	Groningen	Groningen	Q752	province			seed.nl_admin_province
province	PV21	Fryslân	Fryslân	Q770	province			seed.nl_admin_province
province	PV22	Drenthe	Drenthe	Q772	province			seed.nl_admin_province
province	PV23	Overijssel	Overijssel	Q773	province			seed.nl_admin_province
province	PV24	Flevoland	Flevoland	Q707	province			seed.nl_admin_province
province	PV25	Gelderland	Gelderland	Q775	province			seed.nl_admin_province
province	PV26	Utrecht	Utrecht	Q776	province			seed.nl_admin_province
province	PV27	Noord-Holland	Noord-Holland	Q701	province			seed.nl_admin_province
province	PV28	Zuid-Holland	Zuid-Holland	Q694	province			seed.nl_admin_province
province	PV29	Zeeland	Zeeland	Q705	province			seed.nl_admin_province
province	PV30	Noord-Brabant	Noord-Brabant	Q1101	province			seed.nl_admin_province
province	PV31	Limburg	Limburg	Q1093	province			seed.nl_admin_province
municipality	GM1680	Aa en Hunze	Aa en Hunze	Q300665	municipality	province	PV22	seed.nl_admin_municipality
municipality	GM0358	Aalsmeer	Aalsmeer	Q9897	municipality	province	PV27	seed.nl_admin_municipality
municipality	GM0197	Aalten	Aalten	Q275909	municipality	province	PV25	seed.nl_admin_municipality
municipality	GM0059	Achtkarspelen	Achtkarspelen	Q341024	municipality	province	PV21	seed.nl_admin_municipality
municipality	GM0482	Alblasserdam	Alblasserdam	Q736131	municipality	province	PV28	seed.nl_admin_municipality
municipality	GM0613	Albrandswaard	Albrandswaard	Q934525	municipality	province	PV28	seed.nl_admin_municipality
municipality	GM0361	Alkmaar	Alkmaar	Q972	municipality	province	PV27	seed.nl_admin_municipality
municipality	GM0141	Almelo	Almelo	Q988	municipality	province	PV23	seed.nl_admin_municipality
municipality	GM0034	Almere	Almere	Q83178	municipality	province	PV24	seed.nl_admin_municipality
municipality	GM0484	Alphen aan den Rijn	Alphen aan den Rijn	Q213246	municipality	province	PV28	seed.nl_admin_municipality
municipality	GM1723	Alphen-Chaam	Alphen-Chaam	Q9809	municipality	province	PV30	seed.nl_admin_municipality
municipality	GM1959	Altena	Altena	Q28057171	municipality	province	PV30	seed.nl_admin_municipality
municipality	GM0060	Ameland	Ameland	Q208259	municipality	province	PV21	seed.nl_admin_municipality
municipality	GM0307	Amersfoort	Amersfoort	Q992	municipality	province	PV26	seed.nl_admin_municipality
municipality	GM0362	Amstelveen	Amstelveen	Q9898	municipality	province	PV27	seed.nl_admin_municipality
municipality	GM0363	Amsterdam	Amsterdam	Q9899	municipality	province	PV27	seed.nl_admin_municipality
municipality	GM0200	Apeldoorn	Apeldoorn	Q101918	municipality	province	PV25	seed.nl_admin_municipality
municipality	GM0202	Arnhem	Arnhem	Q1310	municipality	province	PV25	seed.nl_admin_municipality
municipality	GM0106	Assen	Assen	Q798	municipality	province	PV22	seed.nl_admin_municipality
municipality	GM0743	Asten	Asten	Q9810	municipality	province	PV30	seed.nl_admin_municipality
municipality	GM0744	Baarle-Nassau	Baarle-Nassau	Q9811	municipality	province	PV30	seed.nl_admin_municipality
municipality	GM0308	Baarn	Baarn	Q10027	municipality	province	PV26	seed.nl_admin_municipality
municipality	GM0489	Barendrecht	Barendrecht	Q204239	municipality	province	PV28	seed.nl_admin_municipality
municipality	GM0203	Barneveld	Barneveld	Q164098	municipality	province	PV25	seed.nl_admin_municipality
municipality	GM0888	Beek (L.)	Beek	Q9806	municipality	province	PV31	seed.nl_admin_municipality
municipality	GM1954	Beekdaelen	Beekdaelen	Q29957432	municipality	province	PV31	seed.nl_admin_municipality
municipality	GM0889	Beesel	Beesel	Q9805	municipality	province	PV31	seed.nl_admin_municipality
municipality	GM1945	Berg en Dal	Berg en Dal	Q18088965	municipality	province	PV25	seed.nl_admin_municipality
municipality	GM1724	Bergeijk	Bergeijk	Q9812	municipality	province	PV30	seed.nl_admin_municipality
municipality	GM0893	Bergen (L.)	Bergen	Q9804	municipality	province	PV31	seed.nl_admin_municipality
municipality	GM0373	Bergen (NH.)	Bergen	Q9901	municipality	province	PV27	seed.nl_admin_municipality
municipality	GM0748	Bergen op Zoom	Bergen op Zoom	Q9814	municipality	province	PV30	seed.nl_admin_municipality
municipality	GM1859	Berkelland	Berkelland	Q47104	municipality	province	PV25	seed.nl_admin_municipality
municipality	GM1721	Bernheze	Bernheze	Q9815	municipality	province	PV30	seed.nl_admin_municipality
municipality	GM0753	Best	Best	Q9816	municipality	province	PV30	seed.nl_admin_municipality
municipality	GM0209	Beuningen	Beuningen	Q851244	municipality	province	PV25	seed.nl_admin_municipality
municipality	GM0375	Beverwijk	Beverwijk	Q9905	municipality	province	PV27	seed.nl_admin_municipality
municipality	GM0310	De Bilt	De Bilt	Q10035	municipality	province	PV26	seed.nl_admin_municipality
municipality	GM1728	Bladel	Bladel	Q9817	municipality	province	PV30	seed.nl_admin_municipality
municipality	GM0376	Blaricum	Blaricum	Q9906	municipality	province	PV27	seed.nl_admin_municipality
municipality	GM0377	Bloemendaal	Bloemendaal	Q9908	municipality	province	PV27	seed.nl_admin_municipality
municipality	GM1901	Bodegraven-Reeuwijk	Bodegraven-Reeuwijk	Q889423	municipality	province	PV28	seed.nl_admin_municipality
municipality	GM0755	Boekel	Boekel	Q9818	municipality	province	PV30	seed.nl_admin_municipality
municipality	GM1681	Borger-Odoorn	Borger-Odoorn	Q835118	municipality	province	PV22	seed.nl_admin_municipality
municipality	GM0147	Borne	Borne	Q9997	municipality	province	PV23	seed.nl_admin_municipality
municipality	GM0654	Borsele	Borsele	Q10071	municipality	province	PV29	seed.nl_admin_municipality
municipality	GM0757	Boxtel	Boxtel	Q9821	municipality	province	PV30	seed.nl_admin_municipality
municipality	GM0758	Breda	Breda	Q9822	municipality	province	PV30	seed.nl_admin_municipality
municipality	GM1876	Bronckhorst	Bronckhorst	Q747999	municipality	province	PV25	seed.nl_admin_municipality
municipality	GM0213	Brummen	Brummen	Q843895	municipality	province	PV25	seed.nl_admin_municipality
municipality	GM0899	Brunssum	Brunssum	Q9803	municipality	province	PV31	seed.nl_admin_municipality
municipality	GM0312	Bunnik	Bunnik	Q10032	municipality	province	PV26	seed.nl_admin_municipality
municipality	GM0313	Bunschoten	Bunschoten	Q10034	municipality	province	PV26	seed.nl_admin_municipality
municipality	GM0214	Buren	Buren	Q73061	municipality	province	PV25	seed.nl_admin_municipality
municipality	GM0502	Capelle aan den IJssel	Capelle aan den IJssel	Q734860	municipality	province	PV28	seed.nl_admin_municipality
municipality	GM0383	Castricum	Castricum	Q9910	municipality	province	PV27	seed.nl_admin_municipality
municipality	GM0109	Coevorden	Coevorden	Q60453	municipality	province	PV22	seed.nl_admin_municipality
municipality	GM1706	Cranendonck	Cranendonck	Q9823	municipality	province	PV30	seed.nl_admin_municipality
