level_code	admin_code	display_name	territory_name	territory_wikidata_id	territory_type	parent_level_code	parent_admin_code	source
district_or_island	01	Aveiro	Aveiro	Q210527	region			seed.pt_admin_district_or_island
district_or_island	02	Beja	Beja	Q321455	region			seed.pt_admin_district_or_island
district_or_island	03	Braga	Braga	Q326203	region			seed.pt_admin_district_or_island
district_or_island	04	Bragança	Bragança	Q373528	region			seed.pt_admin_district_or_island
district_or_island	05	Castelo Branco	Castelo Branco	Q273529	region			seed.pt_admin_district_or_island
district_or_island	06	Coimbra	Coimbra	Q244517	region			seed.pt_admin_district_or_island
district_or_island	07	Évora	Évora	Q274118	region			seed.pt_admin_district_or_island
district_or_island	08	Faro	Faro	Q244521	region			seed.pt_admin_district_or_island
district_or_island	09	Guarda	Guarda	Q273533	region			seed.pt_admin_district_or_island
district_or_island	10	Leiria	Leiria	Q244512	region			seed.pt_admin_district_or_island
district_or_island	11	Lisboa	Lisbon	Q207199	region			seed.pt_admin_district_or_island
district_or_island	12	Portalegre	Portalegre	Q225189	region			seed.pt_admin_district_or_island
district_or_island	13	Porto	Porto	Q322792	region			seed.pt_admin_district_or_island
district_or_island	14	Santarém	Santarém	Q244510	region			seed.pt_admin_district_or_island
district_or_island	15	Setúbal	Setúbal	Q274109	region			seed.pt_admin_district_or_island
district_or_island	16	Viana do Castelo	Viana do Castelo	Q326214	region			seed.pt_admin_district_or_island
district_or_island	17	Vila Real	Vila Real	Q379372	region			seed.pt_admin_district_or_island
district_or_island	18	Viseu	Viseu	Q273525	region			seed.pt_admin_district_or_island
district_or_island	31	Ilha da Madeira	Madeira Island	Q30188	region			seed.pt_admin_district_or_island
district_or_island	32	Ilha de Porto Santo	Porto Santo	Q27320	municipality			seed.pt_admin_district_or_island
district_or_island	41	Ilha de Santa Maria	Santa Maria Island	Q217262	region			seed.pt_admin_district_or_island
district_or_island	42	Ilha de São Miguel	São Miguel Island	Q209036	region			seed.pt_admin_district_or_island
district_or_island	43	Ilha Terceira	Terceira Island	Q215074	region			seed.pt_admin_district_or_island
district_or_island	44	Ilha da Graciosa	Graciosa Island	Q592315	region			seed.pt_admin_district_or_island
district_or_island	45	Ilha de São Jorge	São Jorge Island	Q743362	region			seed.pt_admin_district_or_island
district_or_island	46	Ilha do Pico	Pico Island	Q210811	region			seed.pt_admin_district_or_island
district_or_island	47	Ilha do Faial	Faial Island	Q657187	region			seed.pt_admin_district_or_island
district_or_island	48	Ilha das Flores	Flores Island	Q216752	region			seed.pt_admin_district_or_island
district_or_island	49	Ilha do Corvo	Corvo Island	Q954488	region			seed.pt_admin_district_or_island
municipality	0101	Águeda	Águeda	Q249906	municipality	district_or_island	01	seed.pt_admin_municipality
municipality	0102	Albergaria-a-Velha	Albergaria-a-Velha	Q1870321	municipality	district_or_island	01	seed.pt_admin_municipality
municipality	0103	Anadia	Anadia	Q395919	municipality	district_or_island	01	seed.pt_admin_municipality
municipality	0104	Arouca	Arouca	Q565302	municipality	district_or_island	01	seed.pt_admin_municipality
municipality	0105	Aveiro	Aveiro	Q485581	municipality	district_or_island	01	seed.pt_admin_municipality
municipality	0106	Castelo de Paiva	Castelo de Paiva	Q397379	municipality	district_or_island	01	seed.pt_admin_municipality
municipality	0107	Espinho	Espinho	Q13225053	municipality	district_or_island	01	seed.pt_admin_municipality
municipality	0108	Estarreja	Estarreja	Q381337	municipality	district_or_island	01	seed.pt_admin_municipality
municipality	0109	Santa Maria da Feira	Santa Maria da Feira	Q564813	municipality	district_or_island	01	seed.pt_admin_municipality
municipality	0110	Ílhavo	Ílhavo	Q291745	municipality	district_or_island	01	seed.pt_admin_municipality
municipality	0111	Mealhada	Mealhada	Q381340	municipality	district_or_island	01	seed.pt_admin_municipality
municipality	0112	Murtosa	Murtosa	Q2142313	municipality	district_or_island	01	seed.pt_admin_municipality
municipality	0113	Oliveira de Azeméis	Oliveira de Azeméis	Q405252	municipality	district_or_island	01	seed.pt_admin_municipality
municipality	0114	Oliveira do Bairro	Oliveira do Bairro	Q405241	municipality	district_or_island	01	seed.pt_admin_municipality
municipality	0115	Ovar	Ovar	Q404261	municipality	district_or_island	01	seed.pt_admin_municipality
municipality	0116	São João da Madeira	São João da Madeira	Q565287	municipality	district_or_island	01	seed.pt_admin_municipality
municipality	0117	Sever do Vouga	Sever do Vouga	Q337431	municipality	district_or_island	01	seed.pt_admin_municipality
municipality	0118	Vagos	Vagos	Q404220	municipality	district_or_island	01	seed.pt_admin_municipality
municipality	0119	Vale de Cambra	Vale de Cambra	Q395953	municipality	district_or_island	01	seed.pt_admin_municipality
municipality	0201	Aljustrel	Aljustrel	Q939511	municipality	district_or_island	02	seed.pt_admin_municipality
municipality	0202	Almodôvar	Almodôvar	Q936943	municipality	district_or_island	02	seed.pt_admin_municipality
municipality	0203	Alvito	Alvito	Q449526	municipality	district_or_island	02	seed.pt_admin_municipality
municipality	0204	Barrancos	Barrancos	Q368867	municipality	district_or_island	02	seed.pt_admin_municipality
municipality	0205	Beja	Beja	Q213251	municipality	district_or_island	02	seed.pt_admin_municipality
municipality	0206	Castro Verde	Castro Verde	Q551696	municipality	district_or_island	02	seed.pt_admin_municipality
municipality	0207	Cuba	Cuba	Q552580	municipality	district_or_island	02	seed.pt_admin_municipality
municipality	0208	Ferreira do Alentejo	Ferreira do Alentejo	Q552015	municipality	district_or_island	02	seed.pt_admin_municipality
municipality	0209	Mértola	Mértola	Q551056	municipality	district_or_island	02	seed.pt_admin_municipality
municipality	0210	Moura	Moura	Q551662	municipality	district_or_island	02	seed.pt_admin_municipality
municipality	0211	Odemira	Odemira	Q551669	municipality	district_or_island	02	seed.pt_admin_municipality
municipality	0212	Ourique	Ourique	Q519052	municipality	district_or_island	02	seed.pt_admin_municipality
municipality	0213	Serpa	Serpa	Q550963	municipality	district_or_island	02	seed.pt_admin_municipality
municipality	0214	Vidigueira	Vidigueira	Q551672	municipality	district_or_island	02	seed.pt_admin_municipality
municipality	0301	Amares	Amares	Q455012	municipality	district_or_island	03	seed.pt_admin_municipality
municipality	0302	Barcelos	Barcelos	Q213242	municipality	district_or_island	03	seed.pt_admin_municipality
municipality	0303	Braga	Braga	Q83247	municipality	district_or_island	03	seed.pt_admin_municipality
municipality	0304	Cabeceiras de Basto	Cabeceiras de Basto	Q551048	municipality	district_or_island	03	seed.pt_admin_municipality
municipality	0305	Celorico de Basto	Celorico de Basto	Q551653	municipality	district_or_island	03	seed.pt_admin_municipality
municipality	0306	Esposende	Esposende	Q552011	municipality	district_or_island	03	seed.pt_admin_municipality
municipality	0307	Fafe	Fafe	Q551080	municipality	district_or_island	03	seed.pt_admin_municipality
municipality	0308	Guimarães	Guimarães	Q170903	municipality	district_or_island	03	seed.pt_admin_municipality
municipality	0309	Póvoa de Lanhoso	Póvoa de Lanhoso	Q551689	municipality	district_or_island	03	seed.pt_admin_municipality
municipality	0310	Terras de Bouro	Terras de Bouro	Q551639	municipality	district_or_island	03	seed.pt_admin_municipality
municipality	0311	Vieira do Minho	Vieira do Minho	Q551109	municipality	district_or_island	03	seed.pt_admin_municipality
municipality	0312	Vila Nova de Famalicão	Vila Nova de Famalicão	Q551658	municipality	district_or_island	03	seed.pt_admin_municipality
municipality	0313	Vila Verde	Vila Verde	Q551676	municipality	district_or_island	03	seed.pt_admin_municipality
municipality	0314	Vizela	Vizela	Q551955	municipality	district_or_island	03	seed.pt_admin_municipality
municipality	0401	Alfândega da Fé	Alfândega da Fé	Q551059	municipality	district_or_island	04	seed.pt_admin_municipality
municipality	0402	Bragança	Bragança	Q768261	municipality	district_or_island	04	seed.pt_admin_municipality
municipality	0403	Carrazeda de Ansiães	Carrazeda de Ansiães	Q551666	municipality	district_or_island	04	seed.pt_admin_municipality
municipality	0404	Freixo de Espada à Cinta	Freixo de Espada à Cinta	Q551684	municipality	district_or_island	04	seed.pt_admin_municipality
municipality	0405	Macedo de Cavaleiros	Macedo de Cavaleiros	Q551693	municipality	district_or_island	04	seed.pt_admin_municipality
